File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
53.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
108.py,6,6,6,0,4,74.15078956223692,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
45.py,2,2,2,0,1,84.96220422681199,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
163.py,6,6,6,0,3,72.43195764141169,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
67.py,4,4,4,0,1,78.7218789164598,1,4,5,2,4,6,5,13.931568569324174,0.5,6.965784284662087,0.004643856189774725,0.3869880158145604
30.py,2,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
87.py,7,7,7,0,4,76.28570514245513,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
65.py,9,6,5,4,1,100.0,3,4,7,4,8,12,7,33.68825906469125,3.0,101.06477719407376,0.011229419688230418,5.614709844115208
148.py,10,10,10,0,4,64.81166615748926,5,7,12,7,12,19,12,68.11428751370197,4.285714285714286,291.9183750587227,0.022704762504567322,16.217687503262372
137.py,9,9,9,0,4,68.82557417717732,3,4,7,3,6,9,7,25.26619429851844,2.25,56.848937171666485,0.008422064766172813,3.158274287314805
142.py,10,10,10,0,4,63.1611916248429,4,11,15,10,20,30,15,117.20671786825557,3.6363636363636362,426.2062467936566,0.03906890595608519,23.67812482186981
107.py,18,15,14,0,6,60.55293654344536,4,11,15,7,13,20,15,78.13781191217038,2.3636363636363638,184.68937361058454,0.026045937304056792,10.260520756143585
39.py,9,9,9,0,5,65.10946651498219,7,8,15,7,14,21,15,82.0447025077789,6.125,502.52380286014574,0.02734823416925963,27.917989047785873
119.py,10,10,10,0,6,64.93880260241076,4,6,10,6,12,18,10,59.794705707972525,4.0,239.1788228318901,0.019931568569324175,13.28771237954945
52.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
105.py,8,8,8,0,4,68.0860309991072,5,5,10,5,9,14,10,46.50699332842308,4.5,209.28146997790384,0.01550233110947436,11.62674833210577
22.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
123.py,12,11,11,0,3,62.085743723450754,5,15,20,10,20,30,20,129.65784284662087,3.3333333333333335,432.19280948873626,0.043219280948873624,24.010711638263125
54.py,2,2,2,0,4,83.07472846242624,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
56.py,10,10,10,0,4,69.1689588044931,2,3,5,3,4,7,5,16.253496664211536,1.3333333333333333,21.67132888561538,0.005417832221403845,1.2039627158675212
17.py,4,5,4,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
93.py,16,16,16,0,5,59.38200897456845,4,11,15,8,15,23,15,89.85848369899593,2.727272727272727,245.0685919063525,0.02995282789966531,13.614921772575139
29.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
90.py,9,9,9,0,5,67.1811139707765,4,7,11,4,8,12,11,41.51317942364757,2.2857142857142856,94.88726725405158,0.01383772647454919,5.27151484744731
114.py,14,8,7,3,3,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
115.py,9,9,9,0,4,68.82557417717732,3,4,7,3,6,9,7,25.26619429851844,2.25,56.848937171666485,0.008422064766172813,3.158274287314805
118.py,5,5,5,0,3,74.88675298233962,3,4,7,3,5,8,7,22.458839376460833,1.875,42.11032383086406,0.007486279792153611,2.3394624350480036
95.py,15,15,15,0,8,65.71232290248338,1,3,4,3,3,6,4,12.0,0.5,6.0,0.004,0.3333333333333333
50.py,5,3,2,0,2,94.59472743913393,3,8,11,4,8,12,11,41.51317942364757,1.5,62.26976913547136,0.01383772647454919,3.4594316186372978
82.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
106.py,9,9,9,0,3,66.77155463344673,4,7,11,5,10,15,11,51.89147427955947,2.857142857142857,148.26135508445563,0.01729715809318649,8.236741949136423
4.py,6,4,4,0,2,76.57525125534227,2,6,8,3,6,9,8,27.0,1.0,27.0,0.009,1.5
49.py,2,2,2,0,1,84.96220422681199,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
103.py,9,10,9,0,3,64.18215855029119,5,9,14,8,15,23,14,87.56916320732489,4.166666666666667,364.87151336385375,0.029189721069108297,20.27063963132521
101.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
47.py,6,6,6,0,2,68.75002737935836,6,12,18,8,16,24,18,100.07820003461549,4.0,400.31280013846197,0.0333594000115385,22.23960000769233
63.py,7,7,7,0,3,68.02084750679403,4,8,12,7,14,21,12,75.28421251514429,3.5,263.494743803005,0.025094737505048096,14.638596877944723
14.py,2,3,2,0,2,84.58174335197131,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
35.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
